product,usernames_count,rating_medio,usernames_count_log,rating_medio_log,coreness
"Acer B247Y 24"" (Actual Size: 23.8"") Full HD 1920 x 1080 Height Adjustable IPS Monitor with 2 x 4W Speakers",12,4.40625,2.4849066497880004,1.4830239875784417,0.22600349040139617
"Acer Chromebook 315 15.6"" Intel Celeron N4020 1.1GHz 4GB Ram 64GB SSD Chrome OS -  Manufacturer Refurbished",1,4.615384615384615,0.0,1.529395204760564,0.0034904013961605585
"Acer ET322QK wmiipx 32"" (Actual size 31.5"") 4K 3840 x 2160 Ultra HD HDMI DisplayPort AMD FreeSync Built-in Speakers Widescreen LED Backlight LCD/LED Monitor",1,3.761904761904762,0.0,1.3249254147435985,0.23865619546247818
"Acer G7 Series G257HU smidpx 25"" WQHD 2560 x 1440 2K 4ms (GTG) DVI HDMI DisplayPort Built-in Speakers LED Backlight IPS Monitor",1,4.085714285714285,0.0,1.4074965687704935,0.21444153577661432
"Acer KG281K bmiipx 28"" Ultra HD 3840 x 2160 4K Resolution 1ms DisplayPort 2xHDMI AMD FreeSync Built-in Speakers Flicker-Free Widescreen LED Backlight Gaming Monitor",3,4.649122807017544,1.0986122886681098,1.536678558151672,0.764808362369338
"Acer Nitro 5 AN515-54-51M5 15.6"" Gaming Notebook - 1920 x 1080 - Core i5 i5-9300H - 8 GB RAM - 1 TB HDD - 128 GB SSD - Black",7,4.520833333333333,1.9459101490553132,1.5086963426325686,0.8214285714285714
Acer Predator Helios 300 Intel Core i7 9750H 2.60GHz 16 GB RAM 512 GB SSD Win10H -  Manufacturer Refurbished,3,3.875,1.0986122886681098,1.3545456628053103,0.7543554006968641
"Acer Predator XB1 XB271HU bmiprz 27"" WQHD 2560 x 1440 2K Resolution 144Hz (165Hz OverClock) HDMI DisplayPort NVIDIA G-Sync Built-in Speakers USB HUB LED Backlit IPS Gaming Monitor",2,4.394736842105263,0.6931471805599453,1.4804076526903693,0.19960732984293195
"Acer Predator XB3 XB253Q Gxbmiiprzx 24.5"" Full HD 1920 x 1080 240 Hz HDMI, DisplayPort, USB, Audio G-Sync (NVIDIA Adaptive Sync) Built-in Speakers Flat Panel IPS Gaming Monitor",2,4.333333333333333,0.6931471805599453,1.466337068793427,0.0700261780104712
"Acer SA230 - LED monitor - 23"" - 1920 x 1080 Full HD (1080p) @ 60 Hz - IPS - 250 cd/m - 4 ms - HDMI, VGA - black",5,4.346153846153846,1.6094379124341003,1.4692912806908585,0.1695026178010471
"Acer Spin 3 Intel Core i5 10th Gen 1035G4 (1.10 GHz) 8 GB LPDDR4 Memory 512 GB NVMe SSD 14"" Touchscreen 1920 x 1080 Convertible Thin and Light 2-in-1 Laptop Windows 10 Home 64-bit",6,3.2884615384615383,1.791759469228055,1.1904198379212325,0.8179442508710801
"Acer Swift 3 SF314-55-58P9 14"" Notebook - 1920 x 1080 - Core i5 i5-8265U - 8 GB RAM - 256 GB SSD - Silver - Windows 10 Pro 64-bit",1,4.2727272727272725,0.0,1.452252328911688,0.8440766550522648
"Acer UM.WB7AA.002 22"" (21.5"" Viewable) Full HD 1920 x 1080 GTG D-Sub, HDMI, DisplayPort FreeSync (AMD Adaptive Sync) Built-in Speakers LCD/LED Monitor",1,4.125,0.0,1.4170660197866443,0.23800174520069808
"Acer XF270H B 27"" Full HD LED LCD Monitor, 16:9, Black",6,4.078125,1.791759469228055,1.4056373239630215,0.9547038327526133
"Acer XZ321QU 31.5"" LED Widescreen LCD Monitor",2,4.8,0.6931471805599453,1.5686159179138452,0.9686411149825784
Adventure Stereo Ergo Fit Earbud Headphones,36,4.64797507788162,3.58351893845611,1.5364316576336903,0.18586387434554974
Air 2S Fly More Combo Drone with Remote Control,52,4.724409448818897,3.9512437185814275,1.5527425687575551,0.24105584642233857
AirPods Wireless Charging Case,22,4.28169014084507,3.091042453358316,1.4543478243649062,0.15772251308900523
AirTag,31,4.0,3.4339872044851463,1.3862943611198906,0.15924956369982549
"Alienware 15 R3 - Core i7 7700HQ / 2.8 GHz - Win 10 Home 64-bit - 16 GB RAM - 128 GB SSD + 1 TB HDD - 15.6"" IPS 1920 x 1080 (Full HD) - GF GTX 1070 - Wi-Fi 5, Bluetooth - silver - kbd: English",7,3.918032786885246,1.9459101490553132,1.3655896877581994,0.1930628272251309
Alienware Advanced Gaming Keyboard AW568 - Alienfx RGB Lighting System - 5 Programmable Macro Key Functions,1,4.384615384615385,0.0,1.4781019103730135,0.23712914485165795
"All-New Kindle Paperwhite Leather Cover 10th Generation-2018, Black",5,4.538461538461538,1.6094379124341003,1.5125880864441827,0.19895287958115185
Alpha 7 IV Full-frame Mirrorless Interchangeable Lens Camera with SEL2870 Lens,23,4.555555555555555,3.1354942159291497,1.5163474893680884,0.14659685863874347
Alpha 7R III Full-frame Interchangeable Lens 42.4 MP Mirrorless Camera - Body Only,14,4.797297297297297,2.6390573296152584,1.568052696271246,0.9006968641114983
Alpha Digital XLR Adaptor Kit with Microphone,2,4.0,0.6931471805599453,1.3862943611198906,0.2443280977312391
Amazfit - GTR Smartwatch 42mm Aluminum - Starry Black,12,4.166666666666667,2.4849066497880004,1.4271163556401458,0.769163763066202
Amazon Echo Dot (3rd Generation) Smart Speaker with Alexa - Sandstone,36,4.4006410256410255,3.58351893845611,1.4817502179584887,0.17452006980802792
Amazon Echo Show 5 - Compact Smart Display with Alexa - Charcoal,37,4.625,3.6109179126442243,1.5314763709643886,0.8371080139372822
Amazon Echo Show 5 Adjustable Stand,5,4.56,1.6094379124341003,1.5173226235262947,0.1649214659685864
"Amazon Fire 7 2019 7"" Tablet 32GB Sage",1,3.9655172413793105,0.0,1.377636298376776,0.18041012216404886
Amazon Fire HD 10 Kids Tablet 32GB - Blue,1,4.8,0.0,1.5686159179138452,0.9390243902439024
Amazon Fire HD 10 Kids Tablet 32GB - Pink,1,4.75,0.0,1.55814461804655,0.985191637630662
"Amazon Fire HD 8"" Tablet (8th Generation, 2018 Release) - Black - 16GB (with Special Offers)",1,4.230769230769231,0.0,1.4423838277709342,0.020506108202443283
Amazon Kindle E-Reader 2016 6inch Glare-Free Wi-Fi 8th Generation Black,2,4.617021276595745,0.6931471805599453,1.529749751830401,0.009162303664921467
"Amazon Kindle Fire Quad Core Processor 1.30GHz 1GB Memory 8GB Flash Storage 7"" 1024 x 600 Tablet Fire OS 5 Blue",15,4.485549132947977,2.70805020110221,1.5008609256854397,0.007853403141361256
Animal Crossing amiibo Card Pack: Series 1 (Single Pack),40,4.652631578947369,3.6888794541139363,1.5374329904771573,0.19044502617801048
"Apple - MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD - Space Gray",25,4.617647058823529,3.2188758248682006,1.5298852807321466,0.1324171029668412
Apple - iPhone 11 Pro 256GB - Silver (Unlocked),1,3.6666666666666665,0.0,1.2992829841302609,0.9956445993031359
Apple - iPhone 11 Pro Max Silicone Case - White,11,4.164948453608248,2.3978952727983707,1.4267038994577672,0.7587108013937283
Apple - iPhone XS 256GB - Gold - Unlocked -,1,4.25,0.0,1.4469189829363254,0.8092334494773519
Apple - iPhone XS 256GB - Space Gray - Unlocked -,2,4.038461538461538,0.6931471805599453,1.3958638121360414,0.8806620209059234
Apple - iPod touch 128 GB MP3 Player (6th Generation) - Gold,7,3.869565217391304,1.9459101490553132,1.3531421538029902,0.0010907504363001745
"Apple 10.2"" iPad (Late 2019, 128GB, Wi-Fi Only, Gold)",50,4.640350877192983,3.912023005428146,1.534789983463804,0.9973867595818815
Apple 10.5-inch iPad Air Wi-Fi 64GB,1,4.509433962264151,0.0,1.5061716383793888,0.19197207678883071
"Apple 10.9-inch iPad Air, 256GB, Wi-Fi (4th Generation, 2020)",83,4.7650273224043715,4.418840607796598,1.5613032710675587,0.955574912891986
Apple 11-inch iPad Pro (2018) Wi-Fi + Cellular 512GB,1,4.6923076923076925,0.0,1.5459245067117746,0.8954703832752613
Apple 11-inch iPad Pro (2020) Wi-Fi + Cellular 256GB - Silver,43,4.827160493827161,3.7612001156935624,1.574258405312927,0.975609756097561
Apple 11-inch iPad Pro (2020) Wi-Fi + Cellular 256GB - Space Gray,68,4.879699248120301,4.219507705176107,1.5850835884823362,0.2486910994764398
"Apple 12.9-inch iPad Pro, 2TB, Wi-Fi (5th Generation, 2021)",33,4.802083333333333,3.4965075614664802,1.5690498515288123,0.9494773519163763
"Apple 16"" MacBook Pro (2.3 GHz Intel Core i9 8-Core | 1TB SSD) (Late 2019, Silver)",142,4.572992700729927,4.955827057601261,1.520167848507998,0.24520069808027925
Apple 30W USB-C Power Adapter,2,4.169491525423729,0.6931471805599453,1.4277940920266434,0.8763066202090593
"Apple 32gb iPod Touch (7th Generation, Pink)",8,4.151898734177215,2.0794415416798357,1.4235657559171222,0.8998257839721254
Apple 44mm Sport Loop - Nectarine,2,4.617647058823529,0.6931471805599453,1.5298852807321466,0.7604529616724739
Apple AirPods Pro with Wireless Charging Case,3,3.8533333333333335,1.0986122886681098,1.3489385745761218,0.9303135888501742
Apple Forest Green iPhone Xs Max Leather Folio Case,5,4.416666666666667,1.6094379124341003,1.4853852637641216,0.9860627177700348
Apple HomePod mini (Orange),21,4.027027027027027,3.044522437723423,1.3930283933012348,0.8109756097560976
Apple Leather Case Cover for Apple iPhone X 10 - Black Leather,83,4.6723259762308995,4.418840607796598,1.5416570154016476,0.9921602787456446
Apple Lightning to 30-pin Adapter,3,4.108108108108108,1.0986122886681098,1.4129626082020519,0.9590592334494774
Apple Lightning to VGA Video Adapter,4,4.220338983050848,1.3862943611198906,1.4399154525589883,0.8632404181184669
